regime,country,variable,coef,se,t,p,nobs,maxlags_used
GS,Australia,liquid_liabilities,-0.37183125358351077,0.3425757548930609,-1.0853986257713488,0.2777451407839614,29,2
GS,Australia,bank_loans_gdp,-0.3032822796701705,0.295893594628917,-1.0249707502135006,0.3053769892508289,29,2
GS,Australia,mcap_gdp,0.21260272313444661,0.2328904026864367,0.9128874383917598,0.36130174477807264,29,2
GS,Canada,liquid_liabilities,-1.514826365061195,0.47496351762444994,-3.18935309523911,0.0014259159241872621,29,2
GS,Canada,bank_loans_gdp,-0.7884294380618889,0.4451383296584287,-1.7712009627813456,0.07652728922885359,29,2
GS,Canada,mcap_gdp,0.49503302506055796,0.13071675646107572,3.787066313934792,0.0001524364276050871,29,2
GS,Denmark,liquid_liabilities,0.22199193417299584,0.17536320092224897,1.2658980504776525,0.20554958447103877,38,2
GS,Denmark,bank_loans_gdp,-0.031668864035744676,0.058354566929057855,-0.5426972677947346,0.5873382557110368,38,2
GS,Denmark,mcap_gdp,-0.2944432967556467,0.144098338459285,-2.0433497006548875,0.04101783290228767,38,2
GS,Germany,liquid_liabilities,-0.06630295823149066,0.23512668776756013,-0.2819882288183125,0.7779525362408787,38,2
GS,Germany,bank_loans_gdp,-0.2867696317025512,0.3226474492805805,-0.888801793852617,0.37410961164147183,38,2
GS,Germany,mcap_gdp,0.49693987872623724,0.4766522382468949,1.042562771873178,0.2971508388013867,38,2
GS,Norway,liquid_liabilities,0.5825886607044168,0.26186121179076277,2.2247993764342913,0.02609470928799597,38,2
GS,Norway,bank_loans_gdp,-0.4477027243033455,0.24275113995296008,-1.8442868049563048,0.06514135345883344,38,2
GS,Norway,mcap_gdp,-0.2151961358784023,0.13073569457672743,-1.6460396418524086,0.09975559771477432,38,2
GS,Sweden,liquid_liabilities,0.39422669441809977,0.2801264478599671,1.4073169364399696,0.15933342940826611,38,2
GS,Sweden,bank_loans_gdp,-0.16408853560643363,0.22673979154028623,-0.7236865417038149,0.4692581973992508,38,2
GS,Sweden,mcap_gdp,-0.08095440132020289,0.06656229361650987,-1.2162201288707284,0.22390107784044588,38,2
GS,Switzerland,liquid_liabilities,0.3777141114752552,0.2989018545527403,1.263672692966208,0.2063475302219525,38,2
GS,Switzerland,bank_loans_gdp,-0.20047689659022275,0.1039515704763238,-1.9285605371001462,0.053785442107252404,38,2
GS,Switzerland,mcap_gdp,0.2981551330560504,0.2043939546737908,1.4587277472658173,0.14464005591627824,38,2
GS,United Kingdom,liquid_liabilities,0.3655343864535564,0.4836068929704834,0.7558502406951145,0.44973899046516086,38,2
GS,United Kingdom,bank_loans_gdp,-1.2990690419470394,0.4302933862581879,-3.019030929672626,0.002535846412032711,38,2
GS,United Kingdom,mcap_gdp,0.49123913247092144,0.1027758337815547,4.77971439779343,1.7554438485109743e-06,38,2
GS,United States,liquid_liabilities,0.5611374315956102,1.0409100049836024,0.5390835220230685,0.5898292249741879,29,2
GS,United States,bank_loans_gdp,-1.3023277227334364,0.9101003212621781,-1.4309716108299966,0.15243835160202887,29,2
GS,United States,mcap_gdp,0.06827037876563123,0.08860381100053231,0.7705128932345933,0.4409957098812075,29,2
BW,Australia,liquid_liabilities,0.04156111082913359,0.33417802709081873,0.12436817342822673,0.9010237715969927,44,2
BW,Australia,bank_loans_gdp,-0.5891474753596629,0.41884742872976694,-1.4065920785197672,0.15954838336258992,44,2
