Country,Avg,Min,Max,1882-1913,1929-1971,1974-2020
Australia,0.4185025942022518,0.1323691457509995,1.395296216011047,0.20841437677542368,0.29069075438865394,0.7032125706589499
Canada,0.7147486247753693,0.2686211168766022,1.40922486782074,0.4691644966602325,0.8198459621432216,0.8009972378265026
Denmark,0.28917834901903555,0.07084222137928009,1.220457911491394,0.33748893936475116,0.14289386397184328,0.4268381398084552
Finland,,,,,,
France,0.3961882290291035,0.05486954748630524,0.9678412079811096,0.6110271091262499,0.27474741551072096,0.4293475594631461
Germany,0.23933125183162257,0.02488724328577518,0.7142474055290222,0.28737402024368447,0.14761790862783444,0.3087882269607034
Italy,,,,,,
Japan,,,,,,
Netherlands,,,,,,
Norway,0.20981760466779312,0.02993177250027657,0.8324984908103943,0.20885064639151096,0.1097006707690483,0.30793414724081064
Portugal,0.17680982733512018,0.004320415668189526,0.7933637499809265,0.07821329543367028,0.16373795080323553,0.2531797451421965
Spain,0.22691386944409145,0.05509192124009132,0.7299851179122925,0.08058857123057048,0.1991703191468882,0.3484032042324543
Sweden,0.3824059115502778,0.07469208538532257,1.409290313720703,0.2579103795190652,0.21155911060266716,0.6487826270072959
Switzerland,0.679779727158584,0.1573153734207153,2.797096967697144,0.31317660957574844,0.40035986137944596,1.3102037480404212
United Kingdom,0.7748180781527767,0.1980619877576828,1.881062984466553,0.7065940673152605,0.7208064746024997,0.9518286374419235
United States,0.6745304705227836,0.2521131336688995,1.534410238265991,0.5758884986241658,0.5614855455797773,0.8895525516465653
