Country,Avg,Min,Max,Avg 1882-1913,Avg 1929-1971,Avg 1974-2020
Australia,0.5796828928516146,0.3783062363504004,1.181142402948137,0.47527133209629235,0.564270344198346,0.7038537264837593
Canada,0.43206454167253694,0.2101198458194495,0.756566067638116,0.33560531691879303,0.4125384210500876,0.5223010061980037
Denmark,0.49494718997999154,0.3247651025097237,0.7496914575581838,0.5776662888697857,0.45279303291403006,0.4435591783092479
Finland,0.4965810243863105,0.2426074846910665,0.8231830230789315,0.4973520382487684,0.48058199758084613,0.5010864187485193
France,0.6552230416753566,0.2870093262907989,2.259867670556804,0.651115426888865,0.6362269152195971,0.6069127358001415
Germany,56.37646250961227,0.2221014854958453,1454.17320806351,0.6019280043998403,178.29712818118014,0.6301239128515154
Italy,0.6229011484145646,0.3043716264298032,0.9873386974034871,0.4445975698230683,0.6423356682490841,0.7453569050769352
Japan,0.7183248811843072,0.2095090971507038,1.801901750220558,0.2870326182205115,0.6418581975035956,1.1738304244897941
Netherlands,0.5431706894378765,0.1990942873007887,1.685238095238095,0.255081185320573,0.5846559591426468,0.7450308402093181
Norway,0.5951531150477954,0.3884434210526316,1.107734337349398,0.5783660096811047,0.6181131622583,0.517130416896909
Portugal,0.5033014590584616,0.08754623921085081,0.948896625030887,0.1216813140770254,0.5109120137729758,0.8461199870981302
Spain,0.6004891733290734,0.2076389931429506,1.087793865838479,0.2778555965503411,0.6039275083830027,0.8981474841579167
Sweden,0.6221191583365304,0.3854603060491243,0.8394284388272982,0.5935024115407008,0.7012708225911131,0.5366803017438176
Switzerland,0.9170300544059082,0.4815058923539685,1.486490883236968,0.56752178494084,1.0137529489163415,1.1250945446576537
United Kingdom,0.58228906813045,0.410412057602364,1.000110149856257,0.4709006338723906,0.5714181443174827,0.7003783794208869
United States,0.5257803180087695,0.2911361608953045,0.7642552333590942,0.399205362764229,0.5984381186440694,0.5503414681140957
