Country,Avg,Min,Max,1882-1913,1929-1971,1974-2020
Australia,0.44059076618213594,0.1601577840112202,1.606246725798002,0.3957512475940144,0.22569498587557144,0.7526673304248489
Canada,0.46021819471184044,0.1416764178068055,1.01094628838994,0.429857587359492,0.26329847172222065,0.7031595542735807
Denmark,1.1224688304856427,0.5479494117647059,2.035725835488493,1.0282751359976998,0.9510243009108436,1.332944969248951
Finland,0.43552539120014766,0.08638331365604093,0.9739660659574283,0.2955110116603935,0.3448727490362098,0.6277099525855314
France,,,,,,
Germany,0.6268234615849514,0.05067808778956444,1.040243069496427,0.7433091331041466,0.37466519583177316,0.8435524194946238
Italy,0.43353948033746714,0.1289069382643033,0.9995677968699904,0.20763058387768246,0.3979218507243278,0.6745875373637179
Japan,0.563182496411038,0.1077282181650104,1.4701,0.2576771272184702,0.48856952352101674,0.8405065967849829
Netherlands,,,,,,
Norway,0.7102171117759837,0.2298046621222186,1.336182473644921,0.6511114420404159,0.5376712032403416,0.8671222496168224
Portugal,,,,,,
Spain,,,,,,
Sweden,0.6724596143189201,0.3761879763219348,1.233037025377409,0.6441734791225913,0.4781020375331757,0.8951480179992559
Switzerland,1.1170200786929583,0.6477354932664272,1.676904549572968,0.9520465283402355,1.058767572026399,1.297602178099313
United Kingdom,0.41528577381061893,0.1368226868235324,1.182135609330045,0.25958097103462086,0.2502739211443057,0.7457205612280726
United States,0.4181816057766401,0.1151986883317665,0.6295406476519025,0.3292689956832717,0.33995884697613593,0.5503403024917523
